period,source_period,period_role,horizon,strategy_id,strategy_group,strategy_label,rebalance,top_n,hold_days,llm_weight,llm_scope,traded_rebalance_count,position_count,total_return_pct,benchmark_return_pct,excess_return_pct,mdd_pct,sharpe,win_rate_pct,prediction_hit_rate_pct,status,result_json,center_multi_agent_strategy,center_total_return_pct,center_excess_return_pct,center_mdd_pct,return_delta_vs_center_multi_agent_pct,excess_delta_vs_center_multi_agent_pct,mdd_delta_vs_center_multi_agent_pct,beats_center_return,is_center_multi_agent
2023,validation_2023,validation,short,short_hybrid_05,multi_agent_hybrid,Short multi-agent hybrid,W,3,5,0.5,broad,11,33,14.92,-2.94,17.86,-17.34,0.99,33.33,45.45,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs_2023_2024/runs/proof-ai-validation_2023-short_hybrid_05.json,short_hybrid_05,14.92,17.86,-17.34,0.0,0.0,0.0,False,True
2023,validation_2023,validation,short,short_llm_only,multi_agent_llm_only,Short multi-agent LLM-only,W,3,5,1.0,broad,11,33,8.57,-2.94,11.51,-13.17,0.69,28.57,45.45,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs_2023_2024/runs/proof-ai-validation_2023-short_llm_only.json,short_hybrid_05,14.92,17.86,-17.34,-6.35,-6.35,4.17,False,False
2023,validation_2023,validation,short,deterministic_short,deterministic,Short deterministic baseline,W,3,5,0.0,,11,33,13.58,-2.94,16.52,-17.34,0.92,33.33,48.48,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs_2023_2024/runs/proof-ai-validation_2023-deterministic_short.json,short_hybrid_05,14.92,17.86,-17.34,-1.34,-1.34,0.0,False,False
2023,2023,technical_baseline,short,rsi_oversold,technical,RSI(14) <= 30,W,3,5,0.0,,9,27,-4.18,-2.94,-1.24,-33.18,0.07,14.29,33.33,completed,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2023-rsi_oversold-w-top3-h5.json,short_hybrid_05,14.92,17.86,-17.34,-19.1,-19.1,-15.84,False,False
2023,2023,technical_baseline,short,rsi_ranked,technical,"Lowest RSI(14), no threshold",W,3,5,0.0,,21,63,15.15,-2.94,18.09,-43.1,0.8,47.62,39.68,completed,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2023-rsi_ranked-w-top3-h5.json,short_hybrid_05,14.92,17.86,-17.34,0.23,0.23,-25.76,True,False
2023,2023,technical_baseline,short,bollinger_lower,technical,Close <= Bollinger lower band,W,3,5,0.0,,4,12,-4.56,-2.94,-1.62,-6.74,-0.79,9.52,33.33,completed,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2023-bollinger_lower-w-top3-h5.json,short_hybrid_05,14.92,17.86,-17.34,-19.48,-19.48,10.6,False,False
2023,2023,technical_baseline,short,bollinger_ranked,technical,"Lowest Bollinger %B, no threshold",W,3,5,0.0,,21,63,-8.17,-2.94,-5.23,-32.5,-0.27,47.62,39.68,completed,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2023-bollinger_ranked-w-top3-h5.json,short_hybrid_05,14.92,17.86,-17.34,-23.09,-23.09,-15.16,False,False
2023,2023,technical_baseline,short,momentum_20d,technical,Highest 20-day momentum,W,3,5,0.0,,21,63,-5.88,-2.94,-2.94,-42.53,0.0,52.38,49.21,completed,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2023-momentum_20d-w-top3-h5.json,short_hybrid_05,14.92,17.86,-17.34,-20.8,-20.8,-25.19,False,False
2023,2023,technical_baseline,short,vol_adjusted_momentum,technical,Volatility-adjusted momentum,W,3,5,0.0,,21,63,-34.79,-2.94,-31.86,-44.43,-1.81,38.1,42.86,completed,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2023-vol_adjusted_momentum-w-top3-h5.json,short_hybrid_05,14.92,17.86,-17.34,-49.71,-49.72,-27.09,False,False
2023,validation_2023,validation,long,long_hybrid_05,multi_agent_hybrid,Long multi-agent hybrid,M,3,60,0.5,broad,3,9,-0.42,31.08,-31.49,0.0,-0.03,40.0,22.22,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs_2023_2024/runs/proof-ai-validation_2023-long_hybrid_05.json,long_hybrid_05,-0.42,-31.49,0.0,0.0,0.0,0.0,False,True
