period,period_role,horizon,strategy_id,strategy_group,strategy_label,rebalance,top_n,hold_days,llm_weight,llm_scope,traded_rebalance_count,position_count,total_return_pct,benchmark_return_pct,excess_return_pct,mdd_pct,sharpe,result_json,center_multi_agent_strategy,return_delta_vs_center_multi_agent_pct,excess_delta_vs_center_multi_agent_pct,mdd_delta_vs_center_multi_agent_pct
tune_2025,tuning_reference,short,short_hybrid_05,multi_agent,Short multi-agent hybrid,W,3,5,0.5,broad,48,144,190.16,85.25,104.9,-34.44,2.042,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-tune_2025-short_hybrid_05.json,short_hybrid_05,0.0,0.0,0.0
tune_2025,tuning_reference,short,short_llm_only,multi_agent,Short multi-agent LLM-only,W,3,5,1.0,broad,48,144,153.45,85.25,68.2,-31.83,1.871,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-tune_2025-short_llm_only.json,short_hybrid_05,-36.71,-36.7,2.61
tune_2025,tuning_reference,short,deterministic_short,deterministic,Short deterministic baseline,W,3,5,0.0,,48,144,216.92,85.25,131.67,-26.35,2.308,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-tune_2025-deterministic_short.json,short_hybrid_05,26.76,26.77,8.09
tune_2025,technical_baseline,short,bollinger_ranked,technical,"Lowest Bollinger %B, no threshold",W,3,5,0.0,,48,144,49.81,85.25,-35.44,-22.37,1.068,data/backtest_results/multi_agent_comparison/technical_short/bt-ai-tune_2025-bollinger_ranked-w-top3-h5.json,short_hybrid_05,-140.35,-140.34,12.07
tune_2025,technical_baseline,short,rsi_oversold,technical,RSI(14) <= 30,W,3,5,0.0,,19,57,16.22,85.25,-69.03,-12.54,0.781,data/backtest_results/multi_agent_comparison/technical_short/bt-ai-tune_2025-rsi_oversold-w-top3-h5.json,short_hybrid_05,-173.94,-173.93,21.9
tune_2025,technical_baseline,short,rsi_ranked,technical,"Lowest RSI(14), no threshold",W,3,5,0.0,,48,144,15.39,85.25,-69.86,-34.27,0.563,data/backtest_results/multi_agent_comparison/technical_short/bt-ai-tune_2025-rsi_ranked-w-top3-h5.json,short_hybrid_05,-174.77,-174.76,0.17
tune_2025,technical_baseline,short,bollinger_lower,technical,Close <= Bollinger lower band,W,3,5,0.0,,10,30,10.78,85.25,-74.47,-9.95,0.605,data/backtest_results/multi_agent_comparison/technical_short/bt-ai-tune_2025-bollinger_lower-w-top3-h5.json,short_hybrid_05,-179.38,-179.37,24.49
tune_2025,tuning_reference,long,long_hybrid_05,multi_agent,Long multi-agent hybrid,M,3,60,0.5,broad,11,33,103.29,110.38,-7.1,-14.07,0.758,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-tune_2025-long_hybrid_05.json,long_hybrid_05,0.0,0.0,0.0
tune_2025,tuning_reference,long,long_llm_only,multi_agent,Long multi-agent LLM-only,M,3,60,1.0,broad,11,33,71.22,110.38,-39.16,-13.01,0.629,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-tune_2025-long_llm_only.json,long_hybrid_05,-32.07,-32.06,1.06
tune_2025,tuning_reference,long,deterministic_long,deterministic,Long deterministic baseline,M,3,60,0.0,,11,33,82.78,110.38,-27.6,-8.42,0.961,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-tune_2025-deterministic_long.json,long_hybrid_05,-20.51,-20.5,5.65
tune_2025,technical_baseline,long,rsi_ranked,technical,"Lowest RSI(14), no threshold",M,3,60,0.0,,11,33,94.71,110.38,-15.68,-22.23,0.964,data/backtest_results/multi_agent_comparison/technical_long/bt-ai-tune_2025-rsi_ranked-m-top3-h60.json,long_hybrid_05,-8.58,-8.58,-8.16
tune_2025,technical_baseline,long,bollinger_ranked,technical,"Lowest Bollinger %B, no threshold",M,3,60,0.0,,11,33,92.68,110.38,-17.7,-10.51,1.118,data/backtest_results/multi_agent_comparison/technical_long/bt-ai-tune_2025-bollinger_ranked-m-top3-h60.json,long_hybrid_05,-10.61,-10.6,3.56
tune_2025,technical_baseline,long,rsi_oversold,technical,RSI(14) <= 30,M,3,60,0.0,,6,18,33.34,110.38,-77.04,-7.52,0.65,data/backtest_results/multi_agent_comparison/technical_long/bt-ai-tune_2025-rsi_oversold-m-top3-h60.json,long_hybrid_05,-69.95,-69.94,6.55
