task_id,baseline,baseline_label,period,from_date,to_date,rebalance,top_n,hold_days,rebalance_count,risk_off_count,traded_rebalance_count,position_count,total_return_pct,benchmark_return_pct,excess_return_pct,mdd_pct,sharpe,win_rate_pct,prediction_hit_rate_pct,stop_loss_pct,take_profit_pct,trailing_stop_pct,result_json
bt-ai-recent_2026apr_may-bollinger_lower-w-top3-h5,bollinger_lower,Close <= Bollinger lower band,recent_2026apr_may,2026-04-01,2026-05-07,W,3,5,4,4,0,0,0.0,35.88,-35.88,0.0,0.0,0.0,0.0,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-recent_2026apr_may-bollinger_lower-w-top3-h5.json
bt-ai-recent_2026apr_may-bollinger_ranked-w-top3-h5,bollinger_ranked,"Lowest Bollinger %B, no threshold",recent_2026apr_may,2026-04-01,2026-05-07,W,3,5,4,0,4,12,38.97,35.88,3.09,0.0,13.708,100.0,83.33,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-recent_2026apr_may-bollinger_ranked-w-top3-h5.json
bt-ai-recent_2026apr_may-rsi_oversold-w-top3-h5,rsi_oversold,RSI(14) <= 30,recent_2026apr_may,2026-04-01,2026-05-07,W,3,5,4,4,0,0,0.0,35.88,-35.88,0.0,0.0,0.0,0.0,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-recent_2026apr_may-rsi_oversold-w-top3-h5.json
bt-ai-recent_2026apr_may-rsi_ranked-w-top3-h5,rsi_ranked,"Lowest RSI(14), no threshold",recent_2026apr_may,2026-04-01,2026-05-07,W,3,5,4,0,4,12,14.5,35.88,-21.38,0.0,10.293,75.0,83.33,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-recent_2026apr_may-rsi_ranked-w-top3-h5.json
bt-ai-tune_2025-bollinger_lower-w-top3-h5,bollinger_lower,Close <= Bollinger lower band,tune_2025,2025-01-01,2025-12-31,W,3,5,53,43,10,30,10.78,85.25,-74.47,-9.95,0.605,11.32,53.33,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-tune_2025-bollinger_lower-w-top3-h5.json
bt-ai-tune_2025-bollinger_ranked-w-top3-h5,bollinger_ranked,"Lowest Bollinger %B, no threshold",tune_2025,2025-01-01,2025-12-31,W,3,5,53,5,48,144,49.81,85.25,-35.44,-22.37,1.068,45.28,47.92,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-tune_2025-bollinger_ranked-w-top3-h5.json
bt-ai-tune_2025-rsi_oversold-w-top3-h5,rsi_oversold,RSI(14) <= 30,tune_2025,2025-01-01,2025-12-31,W,3,5,53,34,19,57,16.22,85.25,-69.03,-12.54,0.781,16.98,52.63,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-tune_2025-rsi_oversold-w-top3-h5.json
bt-ai-tune_2025-rsi_ranked-w-top3-h5,rsi_ranked,"Lowest RSI(14), no threshold",tune_2025,2025-01-01,2025-12-31,W,3,5,53,5,48,144,15.39,85.25,-69.86,-34.27,0.563,39.62,47.22,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-tune_2025-rsi_ranked-w-top3-h5.json
bt-ai-validation_2026q1-bollinger_lower-w-top3-h5,bollinger_lower,Close <= Bollinger lower band,validation_2026q1,2026-01-01,2026-03-31,W,3,5,14,10,4,12,4.42,-3.38,7.8,-5.3,0.87,21.43,66.67,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-validation_2026q1-bollinger_lower-w-top3-h5.json
bt-ai-validation_2026q1-bollinger_ranked-w-top3-h5,bollinger_ranked,"Lowest Bollinger %B, no threshold",validation_2026q1,2026-01-01,2026-03-31,W,3,5,14,0,14,42,-16.98,-3.38,-13.59,-31.54,-1.046,42.86,38.1,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-validation_2026q1-bollinger_ranked-w-top3-h5.json
bt-ai-validation_2026q1-rsi_oversold-w-top3-h5,rsi_oversold,RSI(14) <= 30,validation_2026q1,2026-01-01,2026-03-31,W,3,5,14,5,9,27,8.55,-3.38,11.93,-15.59,0.904,35.71,55.56,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-validation_2026q1-rsi_oversold-w-top3-h5.json
bt-ai-validation_2026q1-rsi_ranked-w-top3-h5,rsi_ranked,"Lowest RSI(14), no threshold",validation_2026q1,2026-01-01,2026-03-31,W,3,5,14,0,14,42,-18.18,-3.38,-14.8,-31.93,-1.229,35.71,40.48,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-validation_2026q1-rsi_ranked-w-top3-h5.json
